message_id	message_text
ID-CTX-A-2956	Air botol kecil yang di meja boleh kuambil?
ID-CTX-A-2957	Ambil saja.
ID-CTX-A-2958	Makasih. Mulutku kering dari tadi.
ID-CTX-A-2959	Ibu masih ngobrol di ruang depan.
ID-CTX-A-2960	Aku tunggu di sini dulu.
ID-CTX-A-2961	Iya, nggak usah buru-buru.
ID-CTX-A-2962	Airnya kutaruh dekat tas.
ID-CTX-A-2963	Kamu ada yang mau ditanya?
ID-CTX-A-2964	Ada, tapi sebentar.
ID-CTX-A-2965	Aku lagi mikir cara ngomongnya.
ID-CTX-A-2966	Tulis saja kalau sudah siap.
ID-CTX-A-2967	Iya, tunggu.
ID-CTX-A-2968	Airnya kutaruh lagi. Aku tunggu jawabanmu.
ID-CTX-A-2969	Sudah kubaca. Bentar.
ID-CTX-A-2970	Ibuku masih di sini. Aku belum keluar.
ID-CTX-A-2971	HP-ku kubiarkan bunyi.
ID-CTX-A-2972	Kalau dia menelepon, aku jawab dari dalam dulu.
ID-BRG-1087	Aku masih ngetik, sebentar.
ID-BRG-1171	Bentar, kubalas lebih jelas.
ID-BRG-1038	Kalau teleponnya masuk, kabari aku sebelum keluar.
ID-BRG-1396	Iya, HP-ku masih di tangan.
