message_id	message_text
ID-CTX-B-2155	Powerbank di meja boleh kupakai sebentar?
ID-CTX-B-2156	Boleh. Kabel pendeknya ada di samping.
ID-CTX-B-2157	Baterai HP-ku tinggal sembilan persen.
ID-CTX-B-2158	Aku isi sampai bisa pesan kendaraan aja.
ID-CTX-B-2159	Tunggu, ada orang manggil di depan.
ID-CTX-B-2160	Aku tinggal HP-nya di sini dulu.
ID-CTX-B-2161	Oke, jangan lupa kalau mau berangkat.
ID-CTX-B-2162	Sudah balik. Tadi cuma diminta bantu angkat barang.
ID-CTX-B-2163	HP-nya sekarang dua puluh persen.
ID-CTX-B-2164	Cukup buat jalan, tapi simpan kabelnya.
ID-CTX-B-2165	Iya, aku cabut pelan-pelan.
ID-CTX-B-2166	Powerbanknya masih tiga lampu menyala.
ID-CTX-B-2167	Eh, orang tadi datang lagi.
ID-CTX-B-2168	Aku jawab sebentar, HP sudah di tangan.
ID-CTX-B-2169	Taruh powerbanknya di rak sebelum keluar.
ID-CTX-B-2170	Sudah. Aku bawa HP-ku saja.
ID-CTX-B-2171	Kalau baterainya habis di jalan, aku kabari pas bisa.
ID-CTX-B-0116	Boleh ambil lap yang di dekat wastafel?
ID-CTX-B-0117	Yang bersih di gantungan kanan.
ID-CTX-B-0118	Makasih, tadi airnya tumpah sedikit.
ID-CTX-B-0119	Aku lap mejanya dulu.
ID-CTX-B-0120	Habis itu kugantung lagi.
ID-CTX-B-0121	Kalau sudah basah taruh di ember saja.
ID-CTX-B-0122	Eh, lap kecilku ada di balik pintu.
ID-CTX-B-0123	Jadi pakai yang punyamu?
ID-CTX-B-0124	Iya, belum sempat ambil yang di gantungan 😭
ID-CTX-B-0125	Maaf, aku kira lapku hilang.
ID-CTX-B-0126	Nggak apa-apa. Mejanya sudah kering?
ID-CTX-B-0127	Sudah. Yang basah cuma ujungnya.
ID-CTX-B-0128	Aku bilas lap kecilku sebentar.
ID-CTX-B-0129	Di wastafel masih ada sabun.
ID-CTX-B-0130	Oke, biar nggak bau nanti.
ID-CTX-B-0131	Selesai, aku gantung di dekat jendela.
ID-CTX-B-0132	Jangan yang menutupi saklar lampu.
ID-CTX-B-2072	Kardus tipis yang kosong masih ada?
ID-CTX-B-2073	Nggak kubawa. Kamu mau simpan apa?
ID-CTX-B-2074	Buku kecil biar sudutnya nggak penyok.
ID-CTX-B-2075	Aku cek tumpukan di dekat pintu.
ID-CTX-B-2076	Yang paling atas sudah sobek.
ID-CTX-B-2077	Ada satu di bawah meja mungkin.
ID-CTX-B-2078	Oh iya, ada. Masih kering.
ID-CTX-B-2079	Ukurannya pas buat bukunya.
ID-CTX-B-2080	Tadi aku cuma lihat kardus besar 😅
ID-CTX-B-2081	Tutup bawahnya pakai selotip dulu.
ID-CTX-B-2082	Sudah, bukunya nggak bergerak.
ID-CTX-B-2083	Aku simpan di rak bagian atas.
ID-CTX-B-2084	Eh, masih ada celah di samping.
ID-CTX-B-2085	Selipin kertas biasa saja, jangan terlalu padat.
ID-CTX-B-2521	Sampo sachet yang tersisa satu boleh kupakai?
ID-CTX-B-2522	Boleh, di rak kamar mandi kan?
ID-CTX-B-2523	Iya, bungkusnya warna ungu.
ID-CTX-B-2524	Aku ambil sekarang sebelum mandi.
ID-CTX-B-2525	Tunggu, ada yang manggil di depan.
ID-CTX-B-2526	Belum masuk kamar mandi kok.
ID-CTX-B-2527	Ya sudah, jawab dulu. Nggak perlu buru-buru.
ID-CTX-B-2528	Sudah. Ternyata cuma tanya handuknya.
ID-CTX-B-2529	Sachetnya hampir sobek di pinggir.
ID-CTX-B-2530	Pegang bagian atas, nanti tumpah.
ID-CTX-B-2531	Aku pindahin ke tempat sabun dulu.
ID-CTX-B-2532	Habis ini bungkusnya langsung kubuang.
ID-CTX-B-2533	Aduh, tadi lupa bawa handuk sendiri.
ID-CTX-B-2457	Tisu basah di bungkus itu susah ditarik.
ID-CTX-B-2458	Plastik penutupnya ketempel semua?
ID-CTX-B-2459	Iya. Aku tarik satu malah keluar tiga.
ID-CTX-B-2460	Sekarang sisanya kebuka.
ID-CTX-B-2461	Tempel lagi perekatnya biar nggak kering.
ID-CTX-B-2462	Aku lipat pinggir plastiknya.
ID-CTX-B-2463	Kutindih dengan botol sebentar.
ID-CTX-B-2464	Eh, sekarang nempel lagi.
ID-CTX-B-2465	Berarti cukup. Jangan sampai botolnya bocor.
ID-CTX-B-2466	Botolnya kosong, tenang.
ID-CTX-B-2467	Nanti kucek kalau tisu di atas mulai kering.
ID-CTX-B-2468	Aku pindahkan ke tempat yang lebih teduh.
ID-CTX-B-2469	Di laci ada ruang?
ID-CTX-B-2470	Ada. Kututup rapat dulu.
ID-CTX-B-2255	Celana pendek yang kering itu punya siapa?
ID-CTX-B-2256	Warna apa?
ID-CTX-B-2257	Abu-abu, ada garis kecil di samping.
ID-CTX-B-2258	Kupikir punyamu, tapi ukurannya beda.
ID-CTX-B-2259	Mungkin punya Dini. Jangan ditaruh di tasku.
ID-CTX-B-2260	Oke. Nanti kutanya langsung.
ID-CTX-B-2261	Ngomong-ngomong, kamu sempat makan tadi?
ID-CTX-B-2262	Sudah, barusan roti sama telur.
ID-CTX-B-2263	Aku belum. Mau mandi dulu.
ID-CTX-B-2264	Celananya kulipat di kursi saja.
ID-CTX-B-2265	Habis mandi aku cari makanan.
ID-CTX-B-2266	Eh ada label nama di bagian dalam.
ID-CTX-B-2267	Kalau begitu nggak perlu nebak lagi.
ID-CTX-B-2625	Gelas bening di rak sepertinya ada serpih di bibirnya.
ID-CTX-B-2626	Aku lihat pas mau ambil air.
ID-CTX-B-2627	Kamu sudah pakai?
ID-CTX-B-2628	Belum, langsung kutaruh lagi 😭
ID-CTX-B-2629	Bagus. Ambil gelas yang lain.
ID-CTX-B-2630	Yang ini kusisihkan biar nggak salah dipakai.
ID-CTX-B-2631	Aku baru ingat, mungkin jatuh kemarin.
ID-CTX-B-2632	Tadi belum kelihatan kalau dari depan.
ID-CTX-B-2633	Sebentar, aku ambil pembungkusnya.
ID-CTX-B-2634	Kalau dibuang, bungkus dulu serpihannya.
ID-CTX-B-2635	Aku cari kertas bekas yang tebal.
ID-CTX-B-2636	Jangan pegang bagian retaknya langsung.
ID-CTX-B-2637	Iya. Kutaruh di meja dulu.
ID-CTX-B-2638	Nanti aku bantu kalau sudah sampai.
ID-CTX-B-2639	Nggak usah, sudah kubungkus aman.
ID-CTX-B-2640	Aku cuci tangan habis ini.
ID-CTX-B-2226	Tas kainku talinya hampir lepas.
ID-CTX-B-2227	Baru sobek sekarang?
ID-CTX-B-2228	Sepertinya jahitannya sudah longgar kemarin.
ID-CTX-B-2229	Tadi kuangkat, bagian pinggirnya terbuka.
ID-CTX-B-2230	Jangan isi yang berat dulu.
ID-CTX-B-2231	Iya, bukunya kupindah ke tas lain.
ID-CTX-B-2232	Tas kainnya kutaruh di kursi dulu.
ID-CTX-B-2233	Eh, ujung talinya masih kuat ternyata.
ID-CTX-B-2234	Tetap jangan dipakai bawa barang berat.
ID-CTX-B-2235	Aku cari benang nanti.
ID-CTX-B-2236	Kalau nggak ketemu, tunggu saja dulu.
ID-CTX-B-2237	Di bawahnya juga ada lubang kecil.
ID-CTX-B-2238	Berarti perlu dijahit dua tempat.
ID-CTX-B-2239	Iya, nggak selesai cuma diikat.
ID-CTX-B-2240	Aku simpan tasnya terpisah.
ID-CTX-B-2241	Oke. Pakai tas yang satunya dulu.
