message_id	message_text
ID-CTX-B-0749	Gelas plastik yang tutupnya hijau mau kupakai.
ID-CTX-B-0750	Ambil saja, asal bukan yang sudah retak.
ID-CTX-B-0751	Aku lihat bagian bawahnya dulu.
ID-CTX-B-0752	Yang ini masih utuh, bisa buat air dingin.
ID-CTX-B-0753	Jangan isi panas, plastiknya tipis.
ID-CTX-B-0754	Iya. Aku cuma isi air biasa.
ID-CTX-B-0755	Sudah habis. Kubilas sebentar.
ID-CTX-B-0756	Kutaruh terbalik di dekat wastafel.
ID-CTX-B-0757	Bagus, biar airnya turun.
ID-CTX-B-0758	Aku keluar dulu, nanti kering sendiri.
ID-CTX-B-0759	Eh, tutup hijaunya masih di meja.
ID-CTX-B-0760	Taruh di samping gelasnya saja.
ID-CTX-B-0982	Koin buat bayar parkir masih ada?
ID-CTX-B-0983	Ada beberapa di mangkuk kecil.
ID-CTX-B-0984	Aku hitung dulu, sepertinya butuh dua.
ID-CTX-B-0985	Ada lima keping di situ.
ID-CTX-B-0986	Yang dua ini cukup kok.
ID-CTX-B-0987	Sisanya biarkan di mangkuk.
ID-CTX-B-0988	Iya, kuambil dua saja.
ID-CTX-B-0989	Nanti kalau dapat kembalian kutaruh lagi.
ID-CTX-B-0990	Nggak perlu. Buat jaga-jaga kamu di jalan.
ID-CTX-B-0991	Oke, masuk saku depan.
ID-CTX-B-0992	Eh, tadi ada satu lagi nyangkut di dasar mangkuk.
ID-CTX-B-1015	Selimut di kursi mau kupakai, ruangan dingin.
ID-CTX-B-1016	Pakai saja, tapi sudutnya masih agak lembap.
ID-CTX-B-1017	Oh. Aku bentang dulu sebentar.
ID-CTX-B-1018	Bukan buru-buru, nanti kalau kering kupakai.
ID-CTX-B-1019	Jangan tumpuk lagi di kursi.
ID-CTX-B-1020	Tenang, kugantung dekat jendela.
ID-CTX-B-1021	Tadi kuganti dengan jaket sementara.
ID-CTX-B-1022	Selimutnya masih tergantung.
ID-CTX-B-1023	Oke, nanti kuambil kalau sudah kering.
ID-CTX-B-1024	Aku keluar sebentar, jendelanya tertutup.
ID-CTX-B-1025	Eh, ada angin dari celah atas.
ID-CTX-B-1026	Kalau begitu pindah agak jauh dari kaca.
ID-CTX-B-1050	Map kertas cokelat masih ada di laci?
ID-CTX-B-1051	Harusnya ada di bagian paling atas.
ID-CTX-B-1052	Aku mau taruh catatan yang lepas.
ID-CTX-B-1053	Ketemu, tapi sudutnya agak terlipat.
ID-CTX-B-1054	Kuganti lipatannya supaya kertas bisa masuk.
ID-CTX-B-1055	Jangan dipaksa kalau sempit.
ID-CTX-B-1056	Cuma tiga lembar, muat.
ID-CTX-B-1057	Aku taruh lagi di laci, nggak kubawa.
ID-CTX-B-1058	Oke, nanti gampang dicari.
ID-CTX-B-0813	Mug putih di rak boleh kupakai buat kopi?
ID-CTX-B-0814	Boleh, asal sudah dibilas.
ID-CTX-B-0815	Ada bekas teh sedikit di dasarnya.
ID-CTX-B-0816	Aku cuci dulu sebelum dipakai.
ID-CTX-B-0817	Keringkan gagangnya, agak licin.
ID-CTX-B-0818	Iya, peganganku aman.
ID-CTX-B-0819	Kopinya sudah jadi. Mugnya masih hangat.
ID-CTX-B-0820	Nanti kucuci setelah habis.
ID-CTX-B-0821	Jangan taruh dekat kabel di meja.
ID-CTX-B-0822	Aku pindah ke sisi kiri.
ID-CTX-B-0823	Eh, ada tutup plastik di rak, bukan punya mug ini kan?
ID-CTX-B-0824	Bukan, mug putih itu memang tanpa tutup.
ID-CTX-B-0825	Oke. Tutupnya kubiarkan di tempat.
ID-CTX-B-2613	Kaos kaki abu ini lubang kecil di tumitnya.
ID-CTX-B-2614	Baru kelihatan setelah dipakai?
ID-CTX-B-2615	Iya, sebelah kiri. Yang kanan masih bagus.
ID-CTX-B-2616	Kalau kutarik malah makin lebar.
ID-CTX-B-2617	Jangan ditarik, ganti yang lain dulu.
ID-CTX-B-2618	Aku punya sepasang di tas.
ID-CTX-B-2619	Yang bolong kutaruh terpisah.
ID-CTX-B-2620	Eh, ternyata jahitannya saja yang renggang.
ID-CTX-B-2621	Tetap jangan dipakai jalan jauh.
ID-CTX-B-2622	Iya, nanti kujahit kalau ada waktu.
ID-CTX-B-2623	Untuk sekarang kusimpan di kantong kecil.
ID-CTX-B-2624	Eh, pasangannya masih bagus. Kutaruh bareng.
ID-CTX-B-2646	Piring kecil yang di rak ada bercak warna.
ID-CTX-B-2647	Sisa saus mungkin?
ID-CTX-B-2648	Nggak tahu, tadi lihat pas mau pakai.
ID-CTX-B-2649	Kubawa ke wastafel buat dicuci lagi.
ID-CTX-B-2650	Iya. Kalau masih menempel rendam dulu.
ID-CTX-B-2651	Sudah hilang dengan air biasa.
ID-CTX-B-2652	Kamu sudah makan? Aku mau pakai piringnya.
ID-CTX-B-2653	Sudah. Silakan pakai.
ID-CTX-B-2380	Sampo sachet ini sobeknya di sisi bawah.
ID-CTX-B-2381	Isinya tumpah banyak?
ID-CTX-B-2382	Cuma sedikit di pinggir wastafel.
ID-CTX-B-2383	Kalau diangkat salah sisi bakal keluar lagi.
ID-CTX-B-2384	Taruh tegak di gelas kosong dulu.
ID-CTX-B-2385	Iya, ada gelas bekas di sini.
ID-CTX-B-2386	Aku bersihkan tumpahannya.
ID-CTX-B-2387	Sudah aman. Nanti kupakai habis sekalian.
