message_id	message_text
ID-CTX-B-3091	Klipnya tetap di wadah, kertasnya sudah kujauhkan dari kipas.
ID-CTX-B-1974	Angka di remote AC tadi kedip-kedip.
ID-CTX-B-1975	Baterainya mulai habis?
ID-CTX-B-1976	Mungkin. Angkanya hilang kalau remote kugerakkan.
ID-CTX-B-1977	Aku buka penutup baterainya dulu.
ID-CTX-B-1978	Lihat apakah salah satunya longgar.
ID-CTX-B-1979	Iya, yang ujung agak lepas.
ID-CTX-B-1980	Kututup lagi, sekarang angkanya muncul.
ID-CTX-B-1981	Coba tombolnya sekali, jangan ditekan terus.
ID-CTX-B-1982	AC-nya merespons.
ID-CTX-B-1983	Berarti baterainya masih cukup sementara.
ID-CTX-B-1984	Remotenya kutaruh jauh dari gelas dulu.
ID-CTX-B-1985	Tadi airnya tumpah dekat remote. Untung nggak kena.
ID-CTX-B-1986	Keringkan meja sebelum remote ditaruh lagi.
ID-CTX-B-1987	Iya, lapnya sedang kupakai.
ID-CTX-B-1988	Remotenya sudah kupindah ke rak.
ID-CTX-B-1989	Kalau angkanya hilang lagi, nanti ganti baterainya.
ID-CTX-B-2172	Ritsleting dompet koin nyangkut di kain bagian dalam.
ID-CTX-B-2173	Ada koin yang terjepit?
ID-CTX-B-2174	Bukan, ujung kainnya ikut ketarik.
ID-CTX-B-2175	Aku coba lepas pelan-pelan, masih seret.
ID-CTX-B-2176	Jangan dipaksa. Pegang kainnya dulu.
ID-CTX-B-2177	Iya, sekarang kutahan kainnya.
ID-CTX-B-2178	Berhasil. Dompetnya bisa dibuka.
ID-CTX-B-2179	Koinnya nggak jatuh, aman.
ID-CTX-B-2180	Sip. Simpan lagi sebelum terselip.
ID-CTX-B-2181	Sudah kutaruh di tas. Gelasnya belum ketemu.
ID-CTX-B-2182	Dompetnya aman. Aku cari gelas itu dulu.
ID-CTX-B-2183	Ritsletingnya lancar setelah kainnya kulepas.
ID-CTX-A-2733	Gelas bening yang tadi di rak buku nggak kelihatan.
ID-CTX-A-2734	Terakhir kulihat di dekat buku.
ID-CTX-A-2735	Tadi kupakai sebentar, mungkin kutaruh di belakangnya.
ID-CTX-A-2736	Aku geser bukunya dulu.
ID-CTX-A-2737	Aku nggak pindahkan. Coba lihat di belakang buku.
ID-CTX-A-2738	Ketemu. Bagian atasnya ketutup tumpukan kertas.
ID-CTX-A-2739	Kucuci gelasnya dulu.
ID-CTX-A-2740	Masih bersih atau perlu dibilas?
ID-CTX-A-2741	Ada sedikit debu, kubilas sebentar.
ID-CTX-A-2742	Bukunya kutaruh balik di rak.
ID-CTX-A-2743	Oke. Gelasnya sudah bisa dipakai?
ID-CTX-A-2744	Sudah. Airnya kutuang sekarang.
ID-DST-1272	Sebentar, aku mau ambil air.
ID-DST-1433	TV di ruang sebelah masih menyala.
ID-DST-1434	Kamu masih nonton?
ID-DST-1435	Nggak, cuma kedengaran dari sini.
ID-DST-1436	Aku malah lagi lihat gelas yang retak ini.
ID-DST-1437	Taruh tas kainmu dulu kalau talinya hampir lepas.
ID-DST-1438	Suara TV tadi bikin aku nggak dengar jahitannya lepas.
ID-DST-1439	Nah, kertas tebalnya ada di bawah buku.
ID-DST-1440	Kalau sudah beres, aku mau makan dulu.
ID-DST-1441	TV-nya kumatikan. Sekarang lebih tenang.
