message_id	message_text
ID-CTX-B-0486	Kipas kecil yang kemarin kamu lihat masih ada?
ID-CTX-B-0487	Aku lupa naruhnya setelah kupakai.
ID-CTX-B-0488	Yang putih? Terakhir dekat tumpukan buku.
ID-CTX-B-0489	Oh iya, tadi memang kutaruh di situ.
ID-CTX-B-0490	Sebentar, bukunya kupindah dulu.
ID-CTX-B-0491	Cek kabelnya juga, jangan sampai ketarik.
ID-CTX-B-0492	Kabelnya ada, kipasnya nggak kelihatan.
ID-CTX-B-0493	Tunggu, ada di belakang buku 😭
ID-CTX-B-0494	Pantas dari depan nggak kelihatan.
ID-CTX-B-0495	Nah, kalau dinyalain masih jalan?
ID-CTX-B-0496	Jalan. Aku cuma mau pakai sebentar.
ID-CTX-B-0497	Kutaruh di dekatku dulu biar nggak hilang lagi.
ID-CTX-B-0498	Eh, suaranya agak kasar pas diputar.
ID-CTX-B-0499	Mungkin kena kertas yang nyangkut di belakang.
ID-CTX-B-0500	Matikan dulu kalau mau lihat bagian situ.
ID-CTX-A-2867	Aku boleh pinjam wadah yang kecil sebentar?
ID-CTX-A-2868	Ambil aja kalau masih di rak.
ID-CTX-A-2869	Makasih, aku cek dulu.
ID-CTX-A-2870	Cuma perlu buat misahin barang kecil.
ID-CTX-A-2871	Habis itu kubalikin.
ID-CTX-A-2872	Iya, jangan lupa taruh lagi.
ID-CTX-A-2873	Eh, wadahku sendiri ketemu di belakang buku.
ID-CTX-A-2874	Jadi nggak perlu pinjam punya aku?
ID-CTX-A-2875	Kayaknya nggak jadi 😭
ID-CTX-A-2876	Maaf, tadi langsung nyari punyamu.
ID-CTX-A-2877	Nggak apa. Yang penting ketemu.
ID-CTX-A-2878	Tunggu, penutupnya nggak ada.
ID-CTX-A-2879	Aku lihat di rak sebelah dulu.
ID-CTX-A-2880	Kalau nggak ada, pakai punyaku dulu.
ID-CTX-A-2881	Oke, nanti kukabarin.
