message_id	message_text
ID-CTX-B-2388	Plester di laci tinggal dua lembar.
ID-CTX-B-2389	Tadi kulihat bungkus satunya sudah kosong.
ID-CTX-B-2390	Mau kutambah ke daftar belanja besok?
ID-CTX-B-2391	Iya, tapi nggak perlu banyak.
ID-CTX-B-2392	Cek dulu di kotak kecil dekat pintu.
ID-CTX-B-2393	Aku lihat sekarang, siapa tahu masih ada.
ID-CTX-B-2394	Sebentar, kotaknya ketutup barang lain.
ID-CTX-B-2395	Ada dua lagi, tapi ukurannya kecil.
ID-CTX-B-2396	Aku rapikan dulu kotaknya.
ID-CTX-B-2397	Yang kecil itu nggak cocok buat yang biasa kita pakai.
ID-CTX-B-2398	Jadi kucatat plester ukuran biasa saja.
ID-CTX-B-2399	Iya, tambahkan satu bungkus saja.
ID-CTX-B-2400	Sudah kutulis. Sisanya air dan buah.
ID-CTX-A-1571	Aku mau beli air dan buah, ditambah plester tadi.
ID-CTX-B-1223	Kalau kamu masih butuh, besok kubalikin.
ID-CTX-B-1224	Boleh. Nggak usah diantar sekarang.
ID-CTX-B-1225	Sip, besok kubawa. Aku masih punya sisir lain kok.
ID-CTX-B-1226	Sekarang ada di dekat tasku.
ID-CTX-B-1227	Kumasukkan saja, jangan sampai jatuh lagi 😭
ID-CTX-B-0368	Selotip di laci dekat gunting masih ada?
ID-CTX-B-0369	Harusnya ada. Cek laci paling atas.
ID-CTX-B-0370	Aku cari dulu.
ID-CTX-B-0371	Ketemu, tinggal setengah gulung.
ID-CTX-B-0372	Cuma perlu beberapa potong.
ID-CTX-B-0373	Buat bungkus kecil yang pinggirnya lepas?
ID-CTX-B-0374	Iya, satu sisinya kebuka.
ID-CTX-B-0375	Sudah kutempel. Sejauh ini nempel.
ID-CTX-B-0376	Kalau lepas lagi, keringkan dulu sisinya.
ID-CTX-B-0377	Oke, sekarang masih rapat.
ID-CTX-B-0378	Dia bahkan nggak kasih aku waktu mikir.
