message_id	message_text
ID-CTX-B-0445	Kartu kamar yang ini masih kamu pegang?
ID-CTX-B-0446	Ada di tas. Perlu sekarang?
ID-CTX-B-0447	Belum, nanti saja. Aku masih beresin barang.
ID-CTX-B-0448	Tadi hampir lupa nanyain.
ID-CTX-B-0449	Oke, kalau perlu bilang.
ID-CTX-B-0450	Jangan sampai ikut kebawa pulang, itu saja.
ID-CTX-B-0451	Iya, nggak bakal.
ID-CTX-B-0452	Aku cari yang satunya dulu, kayaknya nyelip.
ID-CTX-B-0453	Bukan di saku jaket.
ID-CTX-B-0454	Lupa naruhnya di mana 😭
ID-CTX-B-0455	Eh ketemu, di lipatan tas sendiri.
ID-CTX-B-0456	Dua-duanya sudah ada berarti?
ID-CTX-B-0457	Sudah. Nanti kukasih kalau ketemu.
ID-CTX-B-0458	Yang ini kusimpan terpisah biar nggak hilang lagi.
ID-CTX-B-0701	Kamu lihat pulpen hitamku?
ID-CTX-B-0702	Tadi kupakai, sekarang nggak kelihatan.
ID-CTX-B-0703	Terakhir di mana?
ID-CTX-B-0704	Di dekat buku catatan, seingatku.
ID-CTX-B-0705	Bentar, kucari dulu.
ID-CTX-B-0706	Coba cek bawah bukunya.
ID-CTX-B-0707	Bawahnya kosong.
ID-CTX-B-0708	Oh, ketemu wkwk.
ID-CTX-B-0709	Nyelip di sela halaman.
ID-CTX-B-0710	Dari tadi ada di situ 😅
ID-CTX-B-0711	Jangan diketawain 😭
ID-CTX-B-0712	Aku taruh lagi di samping buku.
ID-CTX-B-0713	Eh, tintanya malah seret.
ID-CTX-B-0714	Tunggu, kucoba coret di kertas lain.
ID-CTX-B-0715	Kalau masih macet, pakai yang biru dulu.
ID-CTX-B-2347	Sepatu hitamku jangan ikut dibuang waktu beres-beres.
ID-CTX-B-2348	Tenang, itu masih kusisihkan.
ID-CTX-B-2349	Talinya memang agak lepas, tapi masih kupakai.
ID-CTX-B-2350	Iya, masih ada di sini.
ID-CTX-B-2351	Aku perlu nanti, belum sekarang.
ID-CTX-B-2352	Mau kucari kaus kakinya sekalian.
ID-CTX-B-2353	Sebentar, ada chat masuk.
ID-CTX-B-2354	Kubalas dulu ya.
ID-CTX-B-2355	Oke, nggak buru-buru.
ID-CTX-B-2356	Sudah. Kaus kaki sebelahnya belum ketemu.
ID-CTX-B-2357	Ya sudah, nanti kucari lagi.
ID-CTX-B-2358	Pokoknya sepatunya jangan dipindah dulu.
