message_id	message_text
ID-CTX-A-3217	Jaket abu yang kupinjam kemarin sudah kering?
ID-CTX-A-3218	Bagian lengannya masih agak lembap.
ID-CTX-A-3219	Aku nggak buru-buru, cuma mau tahu.
ID-CTX-A-3220	Kainnya tebal, pantes lama kering.
ID-CTX-A-3221	Kugantung lagi dekat jendela.
ID-CTX-A-3222	Oke. Jangan kena hujan dari luar.
ID-CTX-A-3223	Jendelanya kututup kalau mulai gelap.
ID-CTX-A-3224	Tadi kusentuh, ujungnya sudah lumayan.
ID-CTX-A-3225	Biar besok baru dilipat.
ID-CTX-A-3226	Iya, jangan masuk tas sekarang.
ID-CTX-A-3227	Aku ingat. Yang basah bikin bau.
ID-CTX-A-3228	Eh, saku dalamnya kosong?
ID-CTX-A-3229	Ada kertas kecil, belum kubaca.
ID-CTX-A-3230	Kertas milikmu, keluarkan dulu.
ID-CTX-A-3231	Sudah kutaruh di meja, jauh dari kain.
ID-CTX-A-3232	Oke, nanti kuambil bareng jaketnya.
ID-CTX-B-3140	Buku catatanku bagian ujungnya terlipat.
ID-CTX-B-3141	Halaman yang ada gambar kotak?
ID-CTX-B-3142	Iya, pojok bawahnya kena botol.
ID-CTX-B-3143	Tulisannya aman, cuma susah ditutup rata.
ID-CTX-B-3144	Taruh di bawah buku lain sebentar.
ID-CTX-B-3145	Sudah. Tapi jangan terlalu berat.
ID-CTX-B-3146	Aku biarkan satu jam dulu.
ID-CTX-B-3147	Eh, pas kubuka ujungnya lebih rata.
ID-CTX-B-3148	Berarti cukup. Simpan di tempat kering.
ID-CTX-B-3149	Tadi hampir kutaruh balik dekat botol 😅
ID-CTX-B-3150	Kupindah ke laci.
ID-CTX-B-3151	Kalau besok melengkung lagi, ya sudah.
ID-CTX-B-2977	Aku ambil jaket tipis yang digantung di sini ya.
ID-CTX-B-2978	Kamu mau keluar?
ID-CTX-B-2979	Sebentar. Di bawah anginnya agak kencang.
ID-CTX-B-2980	Nggak perlu yang tebal, cuma ambil titipan.
ID-CTX-B-2981	Ada yang manggil dari pintu. Aku cek dulu.
ID-CTX-B-2982	Oh, bukan buatku. Aku lanjut turun.
ID-CTX-B-2983	Oke, hati-hati di tangga.
ID-CTX-B-2741	Sendok kecil yang di samping mug kupakai ya.
ID-CTX-B-2742	Buat apa? Ada yang bersih di rak.
ID-CTX-B-2743	Mau ambil sedikit selai.
ID-CTX-B-2744	Yang di rak agak besar semua.
ID-CTX-B-2745	Eh, telepon masuk. Nanti kulanjut.
ID-CTX-B-2746	Selainya kututup dulu.
ID-CTX-B-2747	Oke, jangan taruh sendok di atas buku.
ID-CTX-B-2748	Iya, ada piring kecil di sini.
ID-CTX-B-2749	Sudah selesai telepon. Sendoknya kupakai.
ID-CTX-B-2750	Nanti cuci sebelum dikembalikan.
ID-CTX-B-2751	Tentu. Aku baru ambil satu sendok.
ID-CTX-B-2752	Sisa selainya masuk kulkas lagi.
