message_id	old_text	new_text
ID-CTX-B-2148	nggak dibuang barusan.	nggak dibuang.
ID-CTX-B-1909	iya, air hangat ya.	iya, jangan dibuang dulu.
ID-CTX-B-0319	oke, masker cadangan ya.	oke, jangan dibuang dulu.
ID-CTX-B-0322	Eh, soal masker cadangan nanti ya.	eh, maskernya nanti aja.
ID-CTX-B-0547	kenapa?, gula sachet ya.	kenapa gulanya?
ID-CTX-B-1713	iya, kertas lipat ya.	iya, aku tinggal dulu.
ID-CTX-B-0346	kenapa?, jendela ya.	kenapa jendelanya?
ID-CTX-B-1741	oke, dompet koin ya.	oke, terus?
ID-CTX-B-1749	terus?, dompet koin ya.	terus kenapa?
ID-CTX-B-0585	oke, sampo ya.	oke, jangan dibuang dulu.
ID-CTX-B-0588	Eh, soal sampo nanti ya.	eh, samponya nanti aja.
ID-CTX-B-0386	oke, wadah bening ya.	oke, jangan dibuang dulu.
ID-CTX-B-0389	Eh, soal wadah bening nanti ya.	eh, wadahnya nanti aja.
ID-CTX-B-0612	kenapa?, kaos abu ya.	kenapa kaosnya?
ID-CTX-B-0189	Eh, soal kunci motor nanti ya.	eh, kunci motornya nanti aja.
ID-CTX-B-1811	iya, sandal kamar ya.	iya, yang sandal kamar itu.
ID-CTX-B-0085	bentar, buku ya.	bentar, aku cek bukunya.
ID-CTX-B-0087	nyelip ternyata barusan.	ternyata nyelip.
ID-CTX-B-2904	bentar doang, map bening ya.	bentar doang.
ID-CTX-B-2905	habis ini balik, map bening ya.	habis ini kubalikin.
ID-CTX-B-3169	harusnya, gula sachet ya.	harusnya masih di situ.
ID-CTX-B-3170	aku belum lihat, gula sachet ya.	aku belum cek.
ID-CTX-B-2933	iya, serbet meja ya.	iya, nanti aku cek.
ID-CTX-B-2771	apa?, wadah makan ya.	kenapa wadah makannya?
ID-CTX-B-2772	nggak jadi 😭, wadah makan ya.	nggak jadi deh 😭
ID-CTX-B-3036	nggak dibuang, sendok kecil ya.	nggak dibuang.
ID-CTX-B-3037	serius, sendok kecil ya.	serius, jangan dibuang.
ID-CTX-B-2797	serius, toples ya.	serius, jangan dibuang.
ID-CTX-B-2798	iya, toples ya.	iya, nggak dibuang.
ID-CTX-B-1146	nggak ada, roti ya.	nggak ada, rotinya nggak kelihatan.
ID-CTX-B-1148	bentar, roti ya.	bentar, aku cek lagi.
ID-CTX-B-0943	nggak ada, jaket tipis ya.	nggak ada, jaketnya nggak kelihatan.
ID-CTX-B-0945	bentar, jaket tipis ya.	bentar, aku cek lagi.
ID-CTX-B-0745	coba dekat tas barusan.	coba cek dekat tas.
ID-CTX-B-0747	nggak ada, botol bening ya.	nggak ada, botolnya nggak kelihatan.
ID-CTX-B-0748	meja sebelah? barusan.	coba meja sebelah?
ID-CTX-B-1013	nggak ada, catatan kecil ya.	nggak ada, catatannya nggak kelihatan.
ID-CTX-B-0810	nggak ada, kantong belanja ya.	nggak ada, kantongnya nggak kelihatan.
ID-CTX-B-0812	bentar, kantong belanja ya.	bentar, aku cek lagi.
ID-CTX-B-0835	aku lupa tadi, dompet kecil ya.	aku lupa naruh dompet kecil tadi.
ID-CTX-B-0836	lupa apa?, dompet kecil ya.	lupa naruh di mana?
ID-CTX-B-2378	habis ini balik, tas kain ya.	habis ini kubalikin.
ID-CTX-B-2406	iya, celana pendek ya.	iya, yang celana pendek itu.
ID-CTX-B-2246	lah barusan.	lah, terus tadi mau bilang apa?
ID-CTX-B-2510	serius, piring kecil ya.	serius, jangan dibuang dulu.
ID-CTX-B-2271	iya, kantong zip ya.	iya, nggak dibuang.
ID-CTX-B-2272	aku butuh nanti barusan.	aku butuh nanti.
ID-CTX-B-2538	jangan dipaksa, plester ya.	jangan dipaksa dulu.
ID-CTX-B-0421	aku lupa tadi barusan.	aku lupa naruh teh celupnya tadi.
ID-CTX-B-0422	lupa apa? barusan.	lupa naruh di mana?
ID-CTX-B-0462	nggak ada, kabel data ya.	nggak ada, kabelnya nggak kelihatan.
ID-CTX-B-0464	bentar, kabel data ya.	bentar, aku cek lagi.
ID-CTX-B-2124	harusnya barusan.	harusnya masih di situ.
ID-CTX-B-2125	aku belum lihat barusan.	aku belum cek.
ID-CTX-B-1888	iya, dompet koin ya.	iya, nanti aku lihat.
ID-CTX-B-1860	habis ini balik, kertas lipat ya.	habis ini kubalikin.
ID-CTX-B-0294	ketemu barusan.	ketemu.
ID-CTX-B-0298	udah aman barusan.	udah aman.
ID-CTX-B-1691	bentar, remote ac ya.	bentar, aku cari remote AC-nya.
ID-CTX-B-0329	nggak ada, gula sachet ya.	nggak ada, gulanya nggak kelihatan.
ID-CTX-B-0331	bentar, gula sachet ya.	bentar, aku cek lagi.
ID-CTX-B-0532	nggak ada, sepatu ya.	nggak ada, sepatunya nggak kelihatan.
ID-CTX-B-1992	serius barusan.	serius, jangan dibuang.
ID-CTX-B-1753	iya, kaos putih ya.	iya, jangan dibuang dulu.
ID-CTX-B-0595	nggak ada, selotip ya.	nggak ada, selotipnya nggak kelihatan.
ID-CTX-B-0597	bentar, selotip ya.	bentar, aku cek lagi.
ID-CTX-B-0399	nggak ada, kaos abu ya.	nggak ada, kaosnya nggak kelihatan.
ID-CTX-B-2020	jangan dipaksa, powerbank ya.	jangan dipaksa dulu.
ID-CTX-B-1788	jangan dipaksa, kardus tipis ya.	jangan dipaksa dulu.
ID-CTX-B-1789	iya, kardus tipis ya.	iya, aku tinggal dulu.
ID-CTX-B-3111	nggak dibuang, air botol ya.	nggak dibuang.
ID-CTX-B-3112	serius, air botol ya.	serius, jangan dibuang.
ID-CTX-B-3244	harusnya, charger cadangan ya.	harusnya masih di situ.
ID-CTX-B-3245	aku belum lihat, charger cadangan ya.	aku belum cek.
ID-CTX-B-3015	kayaknya barusan.	kayaknya masih di situ.
ID-CTX-B-3016	kayaknya? barusan.	kayaknya gimana?
ID-CTX-B-3017	😭 barusan.	😭 iya deh.
ID-CTX-B-2779	iya, kacamata ya.	iya, nanti aku cek.
ID-CTX-B-0922	oke, roti ya.	oke, berarti rotinya masih ada.
ID-CTX-B-0925	ya, roti ya.	iya, yang roti itu.
ID-CTX-B-0721	oke, jaket tipis ya.	oke, berarti jaketnya masih ada.
ID-CTX-B-0724	ya, jaket tipis ya.	iya, yang jaket tipis itu.
ID-CTX-B-0725	udah barusan.	udah.
ID-CTX-B-0789	oke, catatan kecil ya.	oke, berarti catatannya masih ada.
ID-CTX-B-0792	ya, catatan kecil ya.	iya, yang catatan kecil itu.
ID-CTX-B-0854	oke, mangkuk ya.	oke, berarti mangkuknya masih ada.
ID-CTX-B-0857	ya, mangkuk ya.	iya, yang mangkuk itu.
ID-CTX-B-2320	nggak jadi 😭, tisu basah ya.	nggak jadi deh 😭
ID-CTX-B-2322	serius, tisu basah ya.	serius, aku baru inget tisu basah.
ID-CTX-B-2585	serius, baju ganti ya.	serius, jangan dibuang.
ID-CTX-B-2589	bentar ada chat lain barusan.	bentar, ada chat lain.
ID-CTX-B-1318	kenapa?, plester ya.	kenapa plesternya?
ID-CTX-B-1322	iya, plester ya.	iya, aku tinggal dulu.
ID-CTX-B-1386	kenapa?, handuk kecil ya.	kenapa handuknya?
ID-CTX-B-1390	iya, handuk kecil ya.	iya, aku tinggal dulu.
ID-CTX-B-1185	kenapa?, sandal ya.	kenapa sandalnya?
ID-CTX-B-1189	iya, sandal ya.	iya, aku tinggal dulu.
ID-CTX-B-1191	nanti kucek lagi barusan.	nanti aku cek lagi.
ID-CTX-B-2453	habis ini balik, roti tawar ya.	habis ini kubalikin.
ID-CTX-B-2456	oke, roti tawar ya.	oke, nanti balikin.
ID-CTX-B-2250	lagi males bangun barusan.	lagi males bangun.
ID-CTX-B-0105	oke, koin ya.	oke, aku pakai bentar.
ID-CTX-B-0106	bentar, koin ya.	bentar aja.
ID-CTX-B-1832	iya, remote ac ya.	iya, nggak dibuang.
ID-CTX-B-1840	Eh, remote AC jangan dibuang ya.	eh, remote AC-nya tetap jangan dibuang.
ID-CTX-B-0441	oke, charger ya.	oke, berarti chargernya masih ada.
ID-CTX-B-0240	oke, kabel data ya.	oke, berarti kabelnya masih ada.
ID-CTX-B-0467	cuma sebentar, tisu ya.	cuma bentar, aku ambil tisunya.
ID-CTX-B-0472	kutaruh lagi barusan.	udah kutaruh lagi.
ID-CTX-B-1935	habis ini balik, kardus tipis ya.	habis ini kubalikin.
ID-CTX-B-1704	Eh, aku pakai lap meja ya.	eh, aku pakai lap mejanya bentar.
ID-CTX-B-0536	cuma sebentar, masker cadangan ya.	cuma sebentar, habis itu kubalikin.
ID-CTX-B-1705	iya, lap meja ya.	iya, pakai aja.
ID-CTX-B-1938	oke, kardus tipis ya.	oke, nanti balikin.
ID-CTX-B-1967	iya, nota lama ya.	iya, nanti aku cek.
ID-CTX-B-0340	sip barusan.	sip.
ID-CTX-B-0343	ya barusan.	iya.
ID-CTX-B-0344	cuma sebentar, alarm ya.	cuma sebentar, habis itu kubalikin.
ID-CTX-B-1734	iya, powerbank ya.	iya, nanti aku cek.
ID-CTX-B-1760	bentar, air hangat ya.	bentar, aku cari air hangatnya.
ID-CTX-B-1769	nggak, air hangat ya.	nggak ada di aku.
ID-CTX-B-0574	oke, jendela ya.	oke, berarti masih ada.
ID-CTX-B-0639	oke, plastik zip ya.	oke, berarti plastik zip-nya masih ada.
ID-CTX-B-0642	ya, plastik zip ya.	iya, yang plastik zip itu.
ID-CTX-B-2029	bentar ya, dompet koin ya.	bentar, aku cek dompet koinnya.
ID-CTX-B-0025	bentar, kaos kaki ya.	bentar, aku cek kaus kakinya.
ID-CTX-B-0880	nggak ada, sarung bantal ya.	nggak ada, sarung bantalnya nggak kelihatan.
ID-CTX-B-2856	iya, buku catatan ya.	iya, nanti aku cek.
ID-CTX-B-1093	kenapa?, sarung bantal ya.	kenapa sarung bantalnya?
ID-CTX-B-1097	iya, sarung bantal ya.	iya, aku tinggal dulu.
ID-CTX-B-0667	oke, serbet ya.	oke, jangan dibuang dulu.
ID-CTX-B-0670	Eh, soal serbet nanti ya.	eh, serbetnya nanti aja.
ID-CTX-B-0694	kenapa?, roti ya.	kenapa rotinya?
ID-CTX-B-0699	aku tinggal dulu barusan.	aku tinggal dulu.
ID-CTX-B-0895	kenapa?, kaus kaki hitam ya.	kenapa kaus kakinya?
ID-CTX-B-0960	kenapa?, botol bening ya.	kenapa botolnya?
ID-CTX-B-0305	aku lihat dulu barusan.	aku cek dulu.
ID-CTX-B-0308	oke, sepatu ya.	oke, berarti sepatunya masih ada.
ID-CTX-B-0964	iya, botol bening ya.	iya, aku tinggal dulu.
ID-CTX-B-1253	kenapa?, karet rambut ya.	kenapa karet rambutnya?
ID-CTX-B-1028	kenapa?, kantong belanja ya.	kenapa kantong belanjanya?
ID-CTX-B-1257	iya, karet rambut ya.	iya, aku tinggal dulu.
ID-CTX-B-1032	iya, kantong belanja ya.	iya, aku tinggal dulu.
ID-CTX-B-0827	kenapa?, map kertas ya.	kenapa map-nya?
ID-CTX-B-0676	aku cek barusan.	aku cek dulu.
ID-CTX-B-0677	nggak ada, kaus kaki hitam ya.	nggak ada, kaus kakinya nggak kelihatan.
ID-CTX-B-0679	bentar, kaus kaki hitam ya.	bentar, aku cek lagi.
ID-CTX-B-0403	cuma sebentar, kunci motor ya.	cuma sebentar, habis itu kubalikin.
ID-CTX-B-1076	nggak ada, mangkuk ya.	nggak ada, mangkuknya nggak kelihatan.
ID-CTX-B-1078	bentar, mangkuk ya.	bentar, aku cek lagi.
ID-CTX-B-2426	serius, senter ya.	serius, jangan dibuang.
ID-CTX-B-2427	iya, senter ya.	iya, nggak dibuang.
ID-CTX-B-2563	jangan dipindah dulu barusan.	jangan dipindah dulu.
ID-CTX-B-2564	aku ingat kok barusan.	aku masih ingat naruhnya.
ID-CTX-B-2328	ya nanti aja barusan.	ya nanti aja.
ID-CTX-B-2329	iya, kaos kaki abu ya.	iya, yang kaos kaki abu itu.
ID-CTX-B-1370	aku cek, kotak makanan ya.	aku cek dulu.
ID-CTX-B-1371	nggak ada, kotak makanan ya.	nggak ada, kotaknya nggak kelihatan.
ID-CTX-B-1168	nggak ada, handuk kecil ya.	nggak ada, handuknya nggak kelihatan.
ID-CTX-B-1170	bentar, handuk kecil ya.	bentar, aku cek lagi.
ID-CTX-B-0506	oke, remote tv ya.	oke, berarti remote-nya masih ada.
ID-CTX-B-2656	serius, tas kain ya.	serius, jangan dibuang dulu.
ID-CTX-B-2665	Eh, tas kain jangan dibuang ya.	eh, tas kainnya jangan dibuang.
ID-CTX-B-2194	iya, gelas bening ya.	iya, nggak dibuang.
ID-CTX-B-2202	Eh, gelas bening jangan dibuang ya.	eh, gelasnya jangan dibuang.
ID-CTX-B-2694	jangan dipaksa, celana pendek ya.	jangan dipaksa dulu.
ID-CTX-B-2696	aku tinggal dulu, celana pendek ya.	aku tinggal dulu.
ID-CTX-B-1238	nggak ada, buku saku ya.	nggak ada, bukunya nggak kelihatan.
ID-CTX-B-0781	aku lupa tadi, termos ya.	aku lupa naruh termos tadi.
ID-CTX-B-0782	lupa apa?, termos ya.	lupa naruh di mana?
ID-CTX-B-1451	kenapa?, buku saku ya.	kenapa buku sakunya?
ID-CTX-B-1455	iya, buku saku ya.	iya, aku tinggal dulu.
ID-CTX-B-1456	aku tinggal dulu, buku saku ya.	aku tinggal dulu.
ID-CTX-B-1774	iya, kaus kaki hitam ya.	iya, pakai bentar aja.
ID-CTX-B-1776	habis ini balik, kaus kaki hitam ya.	habis ini kubalikin.
ID-CTX-B-1781	Eh, aku pakai kaus kaki hitam ya.	eh, aku pakai lagi bentar.
ID-CTX-B-1300	aku cek, baterai ya.	aku cek dulu.
ID-CTX-B-1301	nggak ada, baterai ya.	nggak ada, baterainya nggak kelihatan.
ID-CTX-B-1303	bentar, baterai ya.	bentar, aku cek lagi.
