conversation_id	timestamp	sender_id	message_text
KONV-GAL-R001	2026-07-18T11:31:08+07:00	AKT-JIHAN	Aku cuma tahu pusat kota, belum titik pastinya.
KONV-GAL-R001	2026-07-18T11:33:25+07:00	AKT-RAKA	Kamu bilang tahu dia di mana, jadi kupikir alamatnya sudah jelas.
KONV-GAL-R001	2026-07-18T11:36:42+07:00	AKT-JIHAN	Yang cerita ke aku juga belum pasti.
KONV-GAL-R001	2026-07-18T11:41:12+07:00	AKT-RAKA	Kalau ada kabar yang lebih tepat, kirim saja. Jangan menebak.
KONV-GAL-R001	2026-07-18T11:43:29+07:00	AKT-JIHAN	Iya. Aku nggak mau membuat orang cari ke tempat salah.
KONV-GAL-R001	2026-07-18T11:47:46+07:00	AKT-RAKA	Aku tunggu informasi baru, bukan rumor yang sama.
KONV-GAL-R001	2026-07-18T11:48:16+07:00	AKT-JIHAN	Oke, aku tanya lagi kalau bisa.
KONV-GAL-R001	2026-07-18T11:55:33+07:00	AKT-RAKA	Jangan paksa mereka menjawab sekarang.
KONV-GAL-R002	2026-07-18T15:21:08+07:00	AKT-RAKA	Kamu lihat sendiri mobil itu atau dari cerita orang?
KONV-GAL-R002	2026-07-18T15:23:25+07:00	AKT-JIHAN	Dari pesan yang diteruskan ke aku. Aku belum ke sana.
KONV-GAL-R002	2026-07-18T15:26:42+07:00	AKT-RAKA	Oke, berarti cirinya juga belum terverifikasi.
KONV-GAL-R002	2026-07-18T15:31:12+07:00	AKT-JIHAN	Iya. Jangan salah kira mobil lain.
KONV-GAL-R002	2026-07-18T15:33:29+07:00	AKT-RAKA	Aku sudah bergerak, tapi belum menyimpulkan apa-apa.
KONV-GAL-R002	2026-07-18T15:37:46+07:00	AKT-JIHAN	Kalau ada kabar baru aku kirim, jangan cuma pegang ciri itu.
KONV-GAL-R002	2026-07-18T15:38:16+07:00	AKT-RAKA	Baik. Kamu tetap di tempat yang aman.
KONV-GAL-R002	2026-07-18T15:45:33+07:00	AKT-JIHAN	Iya, aku nggak ikut mencari.
KONV-GAL-R032	2026-07-03T16:53:08+07:00	AKT-KORBAN-TD-2767	Dia belum balas lagi sejak bilang dekat situ.
KONV-GAL-R032	2026-07-03T16:55:25+07:00	AKT-RAKA	Kalau belum pasti, jangan anggap sudah tiba.
KONV-GAL-R032	2026-07-03T16:58:42+07:00	AKT-KORBAN-TD-2767	Aku tahu. Aku cuma memberi kabar lebih awal.
KONV-GAL-R032	2026-07-03T17:03:12+07:00	AKT-RAKA	Oke, terima kasih. Kamu masih di tempat yang sama?
KONV-GAL-R032	2026-07-03T17:05:29+07:00	AKT-KORBAN-TD-2767	Masih. Aku nggak mau bolak-balik tanpa kepastian.
KONV-GAL-R032	2026-07-03T17:09:46+07:00	AKT-RAKA	Ya, tunggu pesan darinya dulu.
KONV-GAL-R032	2026-07-03T17:10:16+07:00	AKT-KORBAN-TD-2767	Kalau dia batal, aku kabari juga.
KONV-GAL-R032	2026-07-03T17:17:33+07:00	AKT-RAKA	Baik. Aku belum membuat rencana lain dari pesan ini.
