message_id	message_text
ID-CTX-A-3144	Kartu kamar cadangan boleh kupinjam? Punyaku nggak kelihatan.
ID-CTX-A-3145	Boleh, ada di meja dekat pintu.
ID-CTX-A-3146	Aku ambil setelah ngangkat tutup botol ini.
ID-CTX-A-3147	Sudah masuk saku jaket. Makasih.
ID-CTX-A-3148	Nanti kukembalikan kalau aku sudah balik.
ID-CTX-A-3149	Oke. Jangan ditaruh bareng botol airnya.
ID-CTX-A-3150	Eh, kartu punyaku ada di saku satunya.
ID-CTX-A-3151	Jadi cadangannya nggak perlu?
ID-CTX-A-3152	Nggak. Tapi sudah telanjur kubawa, nanti kubalikin.
ID-CTX-A-3153	Maaf, tadi lupa cek saku itu.
ID-CTX-A-3154	Nggak apa. Simpan terpisah dulu.
ID-CTX-A-3155	Iya, kartumu kusimpan di dompet.
ID-CTX-A-3156	Sudah balik. Kartumu kutaruh dekat pintu.
ID-CTX-A-3157	Oke, kuambil nanti.
ID-CTX-A-3158	Punyaku ternyata di saku jaket, aman.
