message_id	message_text
ID-CTX-B-0413	Plastik zip ini susah ditutup.
ID-CTX-B-0414	Relnya macet atau plastiknya sobek?
ID-CTX-B-0415	Kayaknya rel di ujungnya melengkung.
ID-CTX-B-0416	Tadi masih bisa, sekarang nggak rapat.
ID-CTX-B-0417	Jangan dipaksa kalau begitu. Isinya pindahkan dulu.
ID-CTX-B-0418	Iya, aku cari plastik lain.
ID-CTX-B-0419	Sudah kutaruh di meja dulu, nanti kupindah.
ID-CTX-B-0478	Spidol ini nggak keluar tintanya.
ID-CTX-B-0479	Tutupnya tadi sudah kamu pasang rapat?
ID-CTX-B-0480	Seingatku sudah. Tapi ujungnya kering.
ID-CTX-B-0481	Padahal tadi pagi masih bisa dipakai.
ID-CTX-B-0482	Coba tutup lagi. Nggak usah ditekan keras-keras.
ID-CTX-B-0483	Iya, tadi sempat kucoba tekan, tetap seret.
ID-CTX-B-0484	Kutaruh di meja dulu.
ID-CTX-B-0485	Nanti kucek lagi kalau sudah agak basah ujungnya.
ID-CTX-B-2107	Nota yang lama kayaknya belum kusimpan bareng yang baru.
ID-CTX-B-2108	Aku cari dulu di map, sebentar.
ID-CTX-B-2109	Yang nota minggu lalu itu?
ID-CTX-B-2110	Iya, tapi mapnya belum ketemu 😭
ID-CTX-B-2111	Coba di laci tempat kuitansi.
ID-CTX-B-2112	Sudah kulihat, isinya nota bulan ini semua.
ID-CTX-B-2113	Tunggu, ada satu map lagi di tas.
ID-CTX-B-2114	Kalau ketemu, kukirim fotonya biar kamu cek tanggalnya.
ID-CTX-B-2115	Aku ambil tasnya dulu ya.
ID-CTX-B-2116	Ketemu map lama, tapi notanya terlipat.
ID-CTX-B-2117	Aku lupa tadi bilang: bagian tanggalnya agak pudar.
ID-CTX-B-2118	Nominalnya masih kebaca?
ID-CTX-B-2119	Yang itu juga samar, aduh 😭
ID-CTX-B-2120	Kirim foto dulu, nanti kita lihat bareng.
ID-CTX-B-2121	Oke, kucoba cari cahaya yang lebih terang.
ID-CTX-B-2122	Nanti kalau hasilnya jelas baru kukirim.
