message_id	message_text
ID-CTX-B-3061	Baut kecil di kacamata agak longgar.
ID-CTX-B-3062	Sampai gagangnya lepas?
ID-CTX-B-3063	Belum. Cuma goyang waktu kulipat.
ID-CTX-B-3064	Aku simpan di tempatnya dulu.
ID-CTX-B-3065	Ya, jangan taruh di bawah buku.
ID-CTX-B-3066	Sudah di kotak. Besok kutanya tempat servis.
ID-CTX-B-2865	Aku nemu termos mini di belakang tas.
ID-CTX-B-2866	Yang dulu sempat kamu cari?
ID-CTX-B-2867	Iya. Ternyata bungkusnya masih ada.
ID-CTX-B-2868	Kukira hilang pas pindah barang.
ID-CTX-B-2869	Cuci dulu sebelum dipakai lagi.
ID-CTX-B-2870	Sudah kurendam sebentar.
ID-CTX-B-2871	Kamu udah makan? Aku lagi bikin teh.
ID-CTX-B-2872	Sudah, nggak usah buatku.
ID-CTX-B-2873	Oke. Tehnya buat aku saja.
ID-CTX-B-3194	Wadah makan yang tutup hijau ada di kamu?
ID-CTX-B-3195	Nggak. Aku pakai yang bening.
ID-CTX-B-3196	Yang hijau biasanya di rak kiri.
ID-CTX-B-3197	Aku lihat di sana dulu.
ID-CTX-B-3198	Eh, ada dua tutup tanpa wadah.
ID-CTX-B-3199	Coba bawah meja dekat tas kain.
ID-CTX-B-2962	Botol air kecilku kamu bawa?
ID-CTX-B-2963	Nggak, aku bawa botol yang besar.
ID-CTX-B-2964	Tadi kutaruh di dekat kursi.
ID-CTX-B-2965	Kursinya sudah kupindah, mungkin jatuh.
ID-CTX-B-2966	Sebentar, aku cek bawahnya.
ID-CTX-B-2967	Coba juga sisi belakang kaki meja.
ID-CTX-B-2968	Oh, ada. Ketutup tas yang berdiri.
ID-CTX-B-2969	Tutup botolnya masih rapat.
ID-CTX-B-2970	Aku sempat kira botolmu, rupanya beda warna.
ID-CTX-B-2971	Aku nggak ketawa kok 😄
ID-CTX-B-2972	Kamu pakai emoji senyum.
ID-CTX-B-2973	Botolnya kumasukkan tas dulu.
ID-CTX-B-2974	Eh, yang satunya tadi punya siapa?
ID-CTX-B-2975	Yang biru? Itu botol Reza.
ID-CTX-B-2976	Oke, jangan sampai tertukar lagi.
ID-CTX-B-1100	Serbet yang ada garis kuning ketemu.
ID-CTX-B-1101	Aku sempat lupa taruh di mana.
ID-CTX-B-1102	Di rak atau dekat meja?
ID-CTX-B-1103	Di samping tempat piring, ketutup kain.
ID-CTX-B-1104	Masih kering. Aku mau lap meja.
ID-CTX-B-1105	Tunggu, di meja ada catatan kecilku.
ID-CTX-B-1106	Sudah kuangkat. Tenang.
ID-CTX-B-1107	Mejanya bersih sekarang.
ID-CTX-B-1108	Noda tadi ternyata cuma remah kue.
ID-CTX-B-1109	Kukira ada tinta tumpah.
ID-CTX-B-1110	Kalau tinta, aku pasti panik 😭
ID-CTX-B-1111	Serbetnya kubilas sebentar.
ID-CTX-B-1112	Tapi gantungannya penuh handuk.
ID-CTX-B-1113	Kutaruh di sandaran kursi sampai kering.
ID-CTX-B-1114	Jangan di kursi yang mau dipakai.
ID-CTX-B-1437	Sisir yang gagangnya biru ada dekat cermin?
