message_id	message_text
ID-CTX-B-2095	Tali sandal kamar ini mulai lepas.
ID-CTX-B-2096	Yang sebelah kiri?
ID-CTX-B-2097	Kanan, dekat bagian jari.
ID-CTX-B-2098	Kalau dipakai jalan, ujungnya ikut terangkat.
ID-CTX-B-2099	Jangan ditarik. Pakai yang lain dulu.
ID-CTX-B-2100	Iya, masih ada sandal cadangan.
ID-CTX-B-2101	Yang rusak kutaruh di samping rak.
ID-CTX-B-2102	Yang cadangan pas di kaki. Aman.
ID-CTX-B-2103	Oke. Sandal rusaknya nanti kita lihat.
ID-CTX-B-2104	Talinya cuma terlepas sedikit, sepertinya bisa dipasang lagi.
ID-CTX-B-2105	Nanti kucoba pas nggak buru-buru.
ID-CTX-B-2106	Sekarang kupakai yang cadangan saja.
ID-CTX-B-0727	Nota biru itu belum sempat kucek.
ID-CTX-B-0728	Yang dari laci kemarin?
ID-CTX-B-0729	Iya, ada angka yang kurang jelas.
ID-CTX-B-0730	Aku mau lihat di bawah lampu nanti.
ID-CTX-B-0731	Oke, taruh dulu di map.
ID-CTX-B-0732	Kujaga supaya nggak terlipat, sudutnya rapuh.
ID-CTX-B-0733	Bagus. Simpan rata saja.
ID-CTX-B-0734	Aku coba baca tanggalnya pelan-pelan.
ID-CTX-B-0735	Sekilas kelihatan bulan lalu.
ID-CTX-B-0736	Tapi tintanya pudar, takut aku salah baca 😭
ID-CTX-B-0737	Nanti kufoto dekat jendela.
ID-CTX-B-0738	Kalau dapat foto jelas, kirim saja.
ID-CTX-B-0739	Cahaya di sini kurang. Aku tunggu pindah ruangan.
ID-CTX-B-0740	Notanya juga belum dibutuhkan hari ini.
ID-CTX-B-0741	Oke. Jangan sampai tertinggal.
ID-CTX-B-0742	Kusimpan di map bening yang kecil.
ID-CTX-B-0743	Sip, kabari setelah kamu cek tanggalnya.
ID-CTX-B-0761	Koin receh ini terasa lengket.
ID-CTX-B-0762	Ada bekas selotip di pinggirnya?
ID-CTX-B-0763	Iya, tipis sekali. Baru kelihatan kalau dekat lampu.
ID-CTX-B-0764	Tadi kukira permukaannya yang rusak.
ID-CTX-B-0765	Jangan digosok keras, nanti malah kotor.
ID-CTX-B-0766	Kucoba lap pelan pakai tisu.
ID-CTX-B-0767	Kutaruh terpisah dulu sampai kering.
ID-CTX-B-0001	Terakhir kulihat di dekat tasmu.
ID-CTX-B-0002	Aku cari di situ dulu.
ID-CTX-B-0003	Nggak ada. Mungkin tertutup buku.
ID-CTX-B-0004	Coba sisi meja yang dekat buku.
ID-CTX-B-0005	Oh, ada di bawahnya. Spidolnya masih bisa dipakai.
