message_id	message_text
ID-CTX-B-1059	Ritsleting dompet kecilku nyangkut.
ID-CTX-B-1060	Jangan ditarik keras. Ada kain yang kegigit?
ID-CTX-B-1061	Sepertinya bagian dalamnya masuk ke gigi.
ID-CTX-B-1062	Aku butuh kartu di situ, tapi bisa nanti.
ID-CTX-B-1063	Oke. Coba pelan kalau sudah terang.
ID-CTX-B-1064	Jangan ditaruh jauh ya, dompetnya masih di meja.
ID-CTX-B-1065	Aku nggak pegang dompetmu kok.
ID-CTX-B-1066	Bukan nuduh. Aku takut lupa naruh sendiri.
ID-CTX-B-1067	Aku tandai mejanya pakai botol kosong.
ID-CTX-B-1068	Baru sadar kedengarannya aneh 😅
ID-CTX-B-1069	Besok aku coba buka lagi.
ID-CTX-B-1070	Kalau masih macet, bilang ke Dini juga.
ID-CTX-B-1071	Iya. Dia biasanya sabar urusan begitu.
ID-CTX-B-1072	Sekarang kutaruh di dekat lampu saja.
ID-CTX-B-1458	Lap kecilnya mana? Tehku tumpah sedikit.
ID-CTX-B-1459	Di ujung meja tadi, sekarang nggak kelihatan.
ID-CTX-B-1460	Kamu sudah angkat gelasnya?
ID-CTX-B-1461	Sudah. Cairannya cuma kena alas.
ID-CTX-B-1462	Oh, lapnya di sandaran kursi.
ID-CTX-B-1463	Tarik pelan, jangan sampai kursinya ikut jatuh.
ID-CTX-B-1464	Iya, aku pegang kursinya.
ID-CTX-B-1465	Sudah kulap. Alasnya masih agak lembap.
ID-CTX-B-1466	Angin-anginkan sebentar.
ID-CTX-B-1467	Aku balikkan sisi yang kering dulu.
ID-CTX-B-1468	Eh, sudut kertas di sebelahnya kena juga 😭
ID-CTX-B-1469	Tulisan di kertas aman?
ID-CTX-B-1470	Aman. Cuma ujungnya melengkung.
ID-CTX-B-1471	Kutaruh jauh dari gelas sekarang.
ID-CTX-B-1472	Nah, lapnya jemur kalau sudah selesai.
ID-CTX-B-2907	Tutup wadah makan susah dilepas.
ID-CTX-B-2908	Isi di dalam masih panas?
ID-CTX-B-2909	Nggak, sudah dingin dari tadi.
ID-CTX-B-2910	Satu kaitnya lepas, sisi satunya macet.
ID-CTX-B-2911	Jangan paksa yang macet. Putar wadahnya dulu.
ID-CTX-B-2912	Bisa. Rupanya tutupnya miring.
ID-CTX-B-2913	Aku cuci dulu sebelum dipakai lagi.
ID-CTX-B-2914	Sekarang kaitnya masuk dua-duanya.
ID-CTX-B-1583	Kotak makanan ini nggak rapat di satu sisi.
ID-CTX-B-1584	Ada yang menghalangi tutupnya?
ID-CTX-B-1585	Sedikit nasi nyangkut di bibir kotak.
ID-CTX-B-1586	Oh pantes. Kukira kaitnya patah.
ID-CTX-B-1587	Bersihkan pinggirnya dulu, baru tutup.
ID-CTX-B-1588	Sebentar, aku cari tisu.
ID-CTX-B-1589	Sudah rapat. Untung belum kumasukkan tas.
ID-CTX-B-1590	Cek sekali lagi sebelum berangkat.
