message_id	old_text	new_text
ID-CTX-B-1713	iya, aku tinggal dulu.	iya, kertasnya kutinggal dulu.
ID-CTX-B-1789	iya, aku tinggal dulu.	iya, kardusnya kutinggal dulu.
ID-CTX-B-1322	iya, aku tinggal dulu.	iya, plesternya kutinggal dulu.
ID-CTX-B-1390	iya, aku tinggal dulu.	iya, handuknya kutinggal dulu.
ID-CTX-B-1189	iya, aku tinggal dulu.	iya, sandalnya kutinggal dulu.
ID-CTX-B-1097	iya, aku tinggal dulu.	iya, sarung bantalnya kutinggal dulu.
ID-CTX-B-0964	iya, aku tinggal dulu.	iya, botolnya kutinggal dulu.
ID-CTX-B-1257	iya, aku tinggal dulu.	iya, karetnya kutinggal dulu.
ID-CTX-B-1032	iya, aku tinggal dulu.	iya, kantongnya kutinggal dulu.
ID-CTX-B-1455	iya, aku tinggal dulu.	iya, bukunya kutinggal dulu.
ID-CTX-B-1148	bentar, aku cek lagi.	bentar, aku cek rotinya lagi.
ID-CTX-B-0945	bentar, aku cek lagi.	bentar, aku cek jaketnya lagi.
ID-CTX-B-0812	bentar, aku cek lagi.	bentar, aku cek kantongnya lagi.
ID-CTX-B-0464	bentar, aku cek lagi.	bentar, aku cek kabelnya lagi.
ID-CTX-B-0331	bentar, aku cek lagi.	bentar, aku cek gulanya lagi.
ID-CTX-B-0597	bentar, aku cek lagi.	bentar, aku cek selotipnya lagi.
ID-CTX-B-0679	bentar, aku cek lagi.	bentar, aku cek kaus kakinya lagi.
ID-CTX-B-1078	bentar, aku cek lagi.	bentar, aku cek mangkuknya lagi.
ID-CTX-B-1170	bentar, aku cek lagi.	bentar, aku cek handuknya lagi.
ID-CTX-B-1303	bentar, aku cek lagi.	bentar, aku cek baterainya lagi.
ID-CTX-B-2905	habis ini kubalikin.	habis ini mapnya kubalikin.
ID-CTX-B-2378	habis ini kubalikin.	habis ini tasnya kubalikin.
ID-CTX-B-1860	habis ini kubalikin.	habis ini kertasnya kubalikin.
ID-CTX-B-2453	habis ini kubalikin.	habis ini rotinya kubalikin.
ID-CTX-B-1935	habis ini kubalikin.	habis ini kardusnya kubalikin.
ID-CTX-B-1776	habis ini kubalikin.	habis ini kaus kakinya kubalikin.
ID-CTX-B-3037	serius, jangan dibuang.	serius, sendoknya jangan dibuang.
ID-CTX-B-2797	serius, jangan dibuang.	serius, toplesnya jangan dibuang.
ID-CTX-B-1992	serius, jangan dibuang.	serius, lapnya jangan dibuang.
ID-CTX-B-3112	serius, jangan dibuang.	serius, botol airnya jangan dibuang.
ID-CTX-B-2585	serius, jangan dibuang.	serius, baju gantinya jangan dibuang.
ID-CTX-B-2426	serius, jangan dibuang.	serius, senternya jangan dibuang.
ID-CTX-B-2933	iya, nanti aku cek.	iya, serbetnya nanti aku cek.
ID-CTX-B-2779	iya, nanti aku cek.	iya, kacamatanya nanti aku cek.
ID-CTX-B-1967	iya, nanti aku cek.	iya, notanya nanti aku cek.
ID-CTX-B-1734	iya, nanti aku cek.	iya, powerbank-nya nanti aku cek.
ID-CTX-B-2856	iya, nanti aku cek.	iya, bukunya nanti aku cek.
ID-CTX-B-2798	iya, nggak dibuang.	iya, toplesnya nggak dibuang.
ID-CTX-B-2271	iya, nggak dibuang.	iya, kantong zip-nya nggak dibuang.
ID-CTX-B-1832	iya, nggak dibuang.	iya, remote AC-nya nggak dibuang.
ID-CTX-B-2427	iya, nggak dibuang.	iya, senternya nggak dibuang.
ID-CTX-B-2194	iya, nggak dibuang.	iya, gelasnya nggak dibuang.
ID-CTX-B-0305	aku cek dulu.	aku cek sepatunya dulu.
ID-CTX-B-0676	aku cek dulu.	aku cek kaus kakinya dulu.
ID-CTX-B-1370	aku cek dulu.	aku cek kotaknya dulu.
ID-CTX-B-1300	aku cek dulu.	aku cek baterainya dulu.
ID-CTX-B-2148	nggak dibuang.	kertasnya nggak dibuang.
ID-CTX-B-3036	nggak dibuang.	sendoknya nggak dibuang.
ID-CTX-B-3111	nggak dibuang.	botol airnya nggak dibuang.
ID-CTX-B-0319	oke, jangan dibuang dulu.	oke, maskernya jangan dibuang dulu.
ID-CTX-B-0585	oke, jangan dibuang dulu.	oke, samponya jangan dibuang dulu.
ID-CTX-B-0386	oke, jangan dibuang dulu.	oke, wadahnya jangan dibuang dulu.
ID-CTX-B-0667	oke, jangan dibuang dulu.	oke, serbetnya jangan dibuang dulu.
ID-CTX-B-0699	aku tinggal dulu.	rotinya kutinggal dulu.
ID-CTX-B-2696	aku tinggal dulu.	celananya kutinggal dulu.
ID-CTX-B-1456	aku tinggal dulu.	bukunya kutinggal dulu.
ID-CTX-B-2538	jangan dipaksa dulu.	plesternya jangan dipaksa dulu.
ID-CTX-B-2020	jangan dipaksa dulu.	powerbank-nya jangan dipaksa dulu.
ID-CTX-B-1788	jangan dipaksa dulu.	kardusnya jangan dipaksa dulu.
ID-CTX-B-2694	jangan dipaksa dulu.	celananya jangan dipaksa dulu.
ID-CTX-B-3169	harusnya masih di situ.	harusnya gulanya masih di situ.
ID-CTX-B-2124	harusnya masih di situ.	harusnya remote AC-nya masih di situ.
ID-CTX-B-3244	harusnya masih di situ.	harusnya charger cadangannya masih di situ.
ID-CTX-B-3170	aku belum cek.	gulanya belum aku cek.
ID-CTX-B-2125	aku belum cek.	remote AC-nya belum aku cek.
ID-CTX-B-3245	aku belum cek.	charger cadangannya belum aku cek.
ID-CTX-B-0836	lupa naruh di mana?	dompet kecilnya lupa naruh di mana?
ID-CTX-B-0422	lupa naruh di mana?	teh celupnya lupa naruh di mana?
ID-CTX-B-0782	lupa naruh di mana?	termosnya lupa naruh di mana?
ID-CTX-B-0536	cuma sebentar, habis itu kubalikin.	maskernya kupakai sebentar, habis itu kubalikin.
ID-CTX-B-0344	cuma sebentar, habis itu kubalikin.	alarmnya kupakai sebentar aja.
ID-CTX-B-0403	cuma sebentar, habis itu kubalikin.	kunci motornya kupakai sebentar, habis itu kubalikin.
ID-CTX-B-0745	coba cek dekat tas.	coba cek sisi tas dulu.
ID-CTX-B-1909	iya, jangan dibuang dulu.	iya, air hangatnya jangan dibuang dulu.
ID-CTX-B-1753	iya, jangan dibuang dulu.	iya, kaos putihnya jangan dibuang dulu.
ID-CTX-B-0340	sip.	sip, taruh di situ.
ID-CTX-B-0725	udah.	udah, aman.
ID-CTX-B-2320	nggak jadi deh 😭	nggak jadi, lupa lagi 😭
ID-CTX-B-0343	iya.	iya, lanjut aja.
ID-CTX-B-2510	serius, jangan dibuang dulu.	serius, piring kecilnya jangan dibuang dulu.
ID-CTX-B-2656	serius, jangan dibuang dulu.	serius, tas kainnya jangan dibuang dulu.
ID-CTX-B-2328	ya nanti aja.	ya, nanti aja dulu.
ID-CTX-B-2456	oke, nanti balikin.	oke, rotinya nanti balikin.
ID-CTX-B-1938	oke, nanti balikin.	oke, kardusnya nanti balikin.
ID-CTX-B-0106	bentar aja.	bentar aja pakainya.
