id;conversation_id;num_characters;relative_time_seconds;message_type;responds_to_id;array_emojis;interrogative;exclamatory;sender_hash;mentioned_phones_hash;message_content
1;219;11-50;0.0;text;;[];True;False;8997a3ca605fe5c2;[];kenapa ga bales chat gw?
2;219;11-50;32.0;text;;[];False;False;94edf312b4b35de3;[];nyokap nanya kapan lulus
3;219;11-50;64.0;text;;[];False;False;8997a3ca605fe5c2;[];bokap gw lagi di luar kota
4;219;11-50;88.0;text;;[];False;False;94edf312b4b35de3;[];duit bulanan belum dikirim
5;219;11-50;2930.0;text;;[];False;False;f6ecf600b6956c22;[];PLAYLIST LO YANG MANA SIH
6;219;11-50;2958.0;text;;[];False;False;f6ecf600b6956c22;[];ADEK GW MASUK SMA TAHUN INI
7;219;1-10;2969.0;text;;['👏'];False;False;8997a3ca605fe5c2;[];mager
8;220;51-100;69164.0;image/jpeg;;[];True;False;2dc2a517570ae2aa;[];[Foto]
9;220;101-500;69176.0;text;;[];False;False;2dc2a517570ae2aa;[];tadi siang gw makan di warung makan baru deket gerbang belakang kampus. nasi gorengnya lumayan enak dan harganya murah bgt cuma 12 ribu udah sm es teh. kayaknya bakal jadi langganan baru deh soalnya warteg biasa gw udah mulai naik harga dan porsinya makin dikit aja
10;220;11-50;69359.0;text;;[];False;False;f6ecf600b6956c22;[];GW LAGI BACA NOVEL BARU NIH
11;220;11-50;69359.0;text;;[];False;False;94edf312b4b35de3;[];series itu endingnya zonk bgt
12;220;51-100;69383.0;text;;[];False;False;f6ecf600b6956c22;[];GW HARUS GANTI STRATEGI BELAJAR SIH SOALNYA NILAI UTS KEMARIN JELEK BGT
13;220;101-500;69541.0;text;;[];False;False;2dc2a517570ae2aa;[];tadi siang gw makan di warung makan baru deket gerbang belakang kampus. nasi gorengnya lumayan enak dan harganya murah bgt cuma 12 ribu udah sm es teh. kayaknya bakal jadi langganan baru deh soalnya warteg biasa gw udah mulai naik harga dan porsinya makin dikit aja
14;220;0;69657.0;image/jpeg;;[];False;False;94edf312b4b35de3;[];[Foto]
15;220;1-10;69827.0;text;;['🤣'];False;False;f6ecf600b6956c22;[];NJIR
16;220;11-50;69836.0;text;;[];False;False;f6ecf600b6956c22;[];FUTSAL BESOK JADI GA
17;220;51-100;69876.0;text;;[];False;False;94edf312b4b35de3;[];semalam hujan gede banget sampe kosan gw mati lampu semaleman gila
18;220;11-50;69912.0;text;;[];False;False;8997a3ca605fe5c2;[];konser itu mahal banget tiketnya
19;220;11-50;69935.0;text;;[];False;False;f6ecf600b6956c22;[];FUTSAL BESOK JADI GA
20;220;101-500;70025.0;text;;[];False;False;8997a3ca605fe5c2;[];tadi siang gw makan di warung makan baru deket gerbang belakang kampus. nasi gorengnya lumayan enak dan harganya murah banget cuma 12 ribu udah sama es teh. kayaknya bakal jadi langganan baru deh soalnya warteg biasa gw udah mulai naik harga dan porsinya makin dikit aja
21;220;1-10;70035.0;text;;[];False;False;f6ecf600b6956c22;[];DIH
22;221;11-50;1413993.0;text;;[];False;True;f6ecf600b6956c22;[];SERU BANGET TADI MALEM!
23;221;11-50;1414026.0;text;;['😊'];False;False;f6ecf600b6956c22;[];PLAYLIST LO YANG MANA SIH
24;221;1-10;1414035.0;text;;['🥳', '🍆'];False;False;f6ecf600b6956c22;[];MAGER
25;221;11-50;1414393.0;text;;[];False;False;94edf312b4b35de3;[];playlist lo yang mana sih
26;221;1-10;1415363.0;text;;['🥰'];False;False;f6ecf600b6956c22;[];WOLES
27;222;11-50;1437763.0;text;;[];False;False;f1235353b2d7f94f;[];duit bulanan belum dikirim
28;222;51-100;1437798.0;text;;[];False;False;f1235353b2d7f94f;[];gw lagi belajar masak,,, sendiri biar ga jajan terus lumayan hemat soalnya
29;222;11-50;1437818.0;text;;[];False;False;f1235353b2d7f94f;[];film baru di bioskop bagus ga
30;222;51-100;1438765.0;text;;[];False;False;2dc2a517570ae2aa;[];besok ad bazaar di kampus katanya banyak makanan murah, pada ikut ga
31;222;1-10;1441726.0;text;;['🤣'];False;False;94edf312b4b35de3;[];gila
32;222;11-50;1441737.0;text;;['❤'];False;False;94edf312b4b35de3;[];gw baru aja ketemu mantan
33;222;1-10;1444111.0;text;;['🥱'];False;False;f6ecf600b6956c22;[];MAGER
34;222;51-100;1444586.0;text;;[];False;False;19b3792e7c22549f;[];besok ada bazaar di kampus katanya banyak makanan murah, pada ikut ga
35;222;51-100;1444930.0;text;;['✌🏻'];False;False;94edf312b4b35de3;[];gw nonton film dokumenter semalam tentang laut dan ikan, bagus banget
36;222;11-50;1445701.0;text;;['🍾'];False;True;7ed0633dfe115de4;[];seru bangett tadi malem!
