id;conversation_id;num_characters;relative_time_seconds;message_type;responds_to_id;array_emojis;interrogative;exclamatory;sender_hash;mentioned_phones_hash;message_content
1;421;0;0.0;system;;[];False;False;eebeed43a8d6bd95;[];[Pesan sistem]
2;421;0;30322.0;system;;[];False;False;eebeed43a8d6bd95;[];[Pesan sistem]
3;421;0;81720.0;system;;[];False;False;eebeed43a8d6bd95;[];[Pesan sistem]
4;422;0;182519.0;system;;[];False;False;eebeed43a8d6bd95;[];[Pesan sistem]
5;422;0;184143.0;system;;[];False;False;eebeed43a8d6bd95;[];[Pesan sistem]
6;423;500+;271265.0;image/jpeg;;['👋'];False;True;ded98e397320d2e3;[];[Foto]
7;423;500+;271268.0;image/jpeg;;['👋'];False;True;ded98e397320d2e3;[];[Foto]
8;423;500+;271271.0;image/jpeg;;['👋'];False;True;ded98e397320d2e3;[];[Foto]
9;424;0;769942.0;system;;[];False;False;545fedd3001e569c;[];[Pesan sistem]
10;424;0;770122.0;system;;[];False;False;545fedd3001e569c;[];[Pesan sistem]
11;425;0;1026469.0;system;;[];False;False;545fedd3001e569c;[];[Pesan sistem]
12;425;101-500;1120100.0;text;;[];True;False;da45811af9b2af56;[];guys ad yg tau ga sih knp sistem registrasi online kampus sering bgt error pas masa pengisian krs? tiap semester selalu gitu bikin stres, mana hrs rebutan mata kuliah yg kuotanya dikit bgt lg. apa emang servernya ga kuat ya nampung banyak mahasiswa sekaligus?
13;425;11-50;1120107.0;text;;[];False;True;da45811af9b2af56;[];stress berat gw sm tugas!
14;425;0;1378283.0;system;;[];False;False;545fedd3001e569c;[];[Pesan sistem]
15;425;0;1720876.0;system;;[];False;False;545fedd3001e569c;[];[Pesan sistem]
16;426;0;5760159.0;system;;[];False;False;107e43b137455473;[];[Pesan sistem]
17;426;0;5908305.0;system;;[];False;False;35d46ca674d42a9c;[];[Pesan sistem]
18;427;500+;6296138.0;image/jpeg;;['🔻'];True;True;ded98e397320d2e3;[];[Foto]
19;428;0;6605000.0;system;;[];False;False;f9bf16fa44f79e9d;[];[Pesan sistem]
20;428;0;6682115.0;system;;[];False;False;9eaa21551960ada4;[];[Pesan sistem]
21;428;0;6946609.0;system;;[];False;False;a192d0a7a8be0dbb;[];[Pesan sistem]
22;429;0;10636493.0;system;;[];False;False;9f43d9c8e86968f2;[];[Pesan sistem]
23;429;500+;11749435.0;text;;[];False;True;ded98e397320d2e3;[];ngakak gw liat video itu!
24;429;0;11749442.0;image/jpeg;;[];False;False;ded98e397320d2e3;[];[Foto]
25;429;101-500;11749828.0;text;;[];False;False;ded98e397320d2e3;[];gw pengen curhat sedikit nih. akhir akhir ini gw ngerasa burnout banget sama rutinitas kuliah yang itu itu aja. bangun pagi, kuliah, tugas, tidur, repeat. kadang gw ngerasa kayak robot yang cuma jalan sesuai program tanpa tau tujuan akhirnya apa. mungkin gw butuh liburan beneran buat refresh otak
26;429;0;11751208.0;system;;[];False;False;66cc365b0557575a;[];[Pesan sistem]
27;429;0;13387943.0;system;;[];False;False;35d46ca674d42a9c;[];[Pesan sistem]
28;429;101-500;15205525.0;text;;[];False;False;50dc3288a7e2229a;[];gw pengen curhatt sedikitt nih. akhir akhir ini gw ngerasaaa burnout bangettt sama rutinitas kuliahhhh yang itu itu aja. bangun pagi, kuliah, tugas, tidur, repeat. kadang gw ngerasa kayak robot yang cuma jalannnn sesuai programm tanpa tau tujuan akhirnya apa. mungkin gw butuh liburan beneran buat refresh otak
29;430;0;18918749.0;system;;[];False;False;4eebe62161ae1f1e;[];[Pesan sistem]
30;430;0;18920713.0;system;;[];False;False;4eebe62161ae1f1e;[];[Pesan sistem]
31;431;0;18945552.0;system;;[];False;False;23d921dbb50da829;[];[Pesan sistem]
32;431;0;18951985.0;system;;[];False;False;4eebe62161ae1f1e;[];[Pesan sistem]
33;432;0;19533292.0;system;;[];False;False;4eebe62161ae1f1e;[];[Pesan sistem]
34;432;0;19533942.0;system;;[];False;False;4eebe62161ae1f1e;[];[Pesan sistem]
35;433;500+;21241837.0;text;;[];True;True;ded98e397320d2e3;[];kapan terakhir kali ketemu?
36;433;11-50;21241838.0;text;;[];False;True;ded98e397320d2e3;[];sedih banget ceritanya!
