id;conversation_id;num_characters;relative_time_seconds;message_type;responds_to_id;array_emojis;interrogative;exclamatory;sender_hash;mentioned_phones_hash;message_content
1;149;11-50;0.0;text;;[];False;False;9478e5faa8fe1e90;[];dosen pembimbing susah ditemui
2;149;0;57.0;image/jpeg;;[];False;False;9478e5faa8fe1e90;[];[Foto]
3;149;11-50;64.0;text;;[];False;False;10f031a44ceb5517;[];proposal skripsi gw ditolak
4;149;0;113.0;image/jpeg;;[];False;False;10f031a44ceb5517;[];[Foto]
5;149;11-50;115.0;text;;[];False;False;9478e5faa8fe1e90;[];gw laper banget nih
6;149;11-50;136.0;text;;[];False;False;10f031a44ceb5517;[];lu udah makan belum
7;149;1-10;159.0;text;;[];True;False;9478e5faa8fe1e90;[];gmn?
8;149;1-10;191.0;text;;[];False;True;08adbb36f56617d1;[];MANTAP!
9;149;11-50;201.0;text;;[];False;False;08adbb36f56617d1;[];SIDANG MINGGU DEPAN DOAIN YA
10;149;11-50;204.0;text;;[];False;False;10f031a44ceb5517;[];seminar tadi lama banget
11;149;1-10;209.0;text;;[];True;False;08adbb36f56617d1;[];BENER?
12;149;11-50;216.0;text;;[];False;False;10f031a44ceb5517;[];tugas kelompok bikin pusing
13;149;1-10;218.0;text;;[];False;False;10f031a44ceb5517;[];asli
14;149;1-10;220.0;text;7.0;[];False;False;658136716ac98a6a;[];aman
15;149;11-50;224.0;text;;[];False;False;10f031a44ceb5517;[];warteg depan kampus enak
16;149;11-50;227.0;text;;[];False;False;08adbb36f56617d1;[];DOSEN PEMBIMBING SUSAH DITEMUI
17;149;51-100;261.0;text;10.0;['😅'];False;False;9478e5faa8fe1e90;[];gw udah bikin slides presentasi tapi kayaknya masih kurang bagus deh isinya
18;149;11-50;425.0;application/pdf;;[];False;False;10f031a44ceb5517;[];[Dokumen PDF]
19;149;1-10;584.0;text;;[];False;False;9478e5faa8fe1e90;[];done
20;149;1-10;1117.0;text;;[];False;False;160551434a3c5d21;[];bet
21;149;11-50;1119.0;text;;[];False;False;160551434a3c5d21;[];gw laper banget nih
22;149;11-50;1146.0;text;;[];False;False;9478e5faa8fe1e90;[];proposal skripsi gw ditolak
23;149;11-50;1159.0;text;;[];False;False;160551434a3c5d21;[];mie ayam pak kumis juara sih
24;149;11-50;1166.0;text;;[];False;False;160551434a3c5d21;['10f031a44ceb5517'];dosen pembimbing susah ditemui
25;149;1-10;1246.0;text;;[];False;False;10f031a44ceb5517;[];aman
26;149;11-50;1266.0;text;;[];False;False;10f031a44ceb5517;[];dosen pembimbing susah ditemui
27;149;1-10;1268.0;text;;[];False;False;10f031a44ceb5517;[];done
28;150;11-50;4107.0;text;;[];False;False;148c46b15110943e;[];seminar tadi lama banget...
29;150;0;4157.0;image/jpeg;;[];False;False;148c46b15110943e;[];[Foto]
30;150;11-50;6505.0;text;;[];False;False;10f031a44ceb5517;[];seminar tadi lama banget
31;151;1-10;8635.0;text;;[];True;False;10f031a44ceb5517;[];boleh?
32;151;51-100;8638.0;text;;[];False;False;10f031a44ceb5517;[];wifi kosan gw lemot banget jadi gw ke perpus aja buat ngerjain tugas
33;151;11-50;8797.0;text;;[];True;False;fd549142f6a18925;[];jadwal sidang kapann bro?
34;151;51-100;8818.0;text;31.0;[];False;False;9478e5faa8fe1e90;[];wifi kosan gw lemot banget jadi gw ke perpus aja buat ngerjain tugas
35;151;11-50;8820.0;text;;[];False;False;9478e5faa8fe1e90;[];temenin gw dong besok
36;151;11-50;9149.0;text;;[];False;False;10f031a44ceb5517;[];temen gw sakit masuk rs
37;151;11-50;9156.0;text;;[];False;False;10f031a44ceb5517;[];eh denger gosip belum
38;151;51-100;9180.0;text;;[];False;False;10f031a44ceb5517;[];gw pengen banget liburan ke pantai tapi duit lagi tipis banget sekarang
39;151;1-10;9196.0;text;;[];True;False;10f031a44ceb5517;[];bisa?
40;152;51-100;11958.0;text;;[];False;False;8c1b22d822b56640;[];motor gw mogok di tengah jalan tadi pagi jadi gw telat masuk kelas!!!
41;152;11-50;11980.0;text;;[];False;False;fd549142f6a18925;[];gw lagi di warkopppp nihh
42;152;11-50;12080.0;text;;[];True;False;e221ffc7f5f0a2ba;[];ada yg mau bareng?
43;152;11-50;12089.0;text;;[];False;False;e221ffc7f5f0a2ba;[];Kita ketemuan dimana aja deh.
44;152;51-100;13388.0;text;;['😂'];False;False;8c1b22d822b56640;[];temen sekamar gw pindah kosan jadi sekarang gw sendirian di kamar!!
45;152;11-50;13429.0;text;;[];False;False;9478e5faa8fe1e90;[];gw ngga bisa ikut malem ini
46;152;0;13769.0;video/mp4;44.0;[];False;False;e221ffc7f5f0a2ba;[];[Video]
47;152;11-50;13885.0;text;;[];True;False;988ddf7313b88886;[];nilai keluar kapan ya?
48;152;0;13887.0;image/jpeg;;[];False;False;988ddf7313b88886;[];[Foto]
49;152;0;14077.0;system;;[];False;False;f0f949ae9e974b67;[];[Pesan sistem]
50;153;0;7466343.0;system;;[];False;False;60dc79d46d171018;[];[Pesan sistem]
51;153;11-50;7508142.0;text;;[];True;False;6a05817beec1db22;[];lu dimana sekarang?
52;153;11-50;7508146.0;text;;[];False;False;6a05817beec1db22;[];IPK gw turun semester ini
53;153;11-50;7508152.0;text;;[];False;False;6a05817beec1db22;[];tadi absen ga sih kamu
54;153;11-50;7508162.0;text;;[];False;False;148c46b15110943e;[];gw lg ngerjain tugas nih
55;153;1-10;7508170.0;text;;[];False;False;6a05817beec1db22;[];dah
56;153;1-10;7508175.0;text;;[];False;False;6a05817beec1db22;[];yuk
57;153;1-10;7508178.0;text;;[];False;False;6a05817beec1db22;[];haha
58;153;11-50;7508743.0;text;;[];False;False;6a05817beec1db22;[];lab komputer penuh terus
59;153;1-10;7508746.0;text;;[];False;False;6a05817beec1db22;[];siap
60;153;1-10;7508753.0;text;;[];False;False;6a05817beec1db22;[];wkwk
61;153;11-50;7510484.0;text;;[];False;False;769486bec4df2330;[];eh tadi kelas seru banget
62;153;1-10;7510486.0;text;;[];True;False;769486bec4df2330;[];kapan?
63;153;1-10;7510489.0;text;;[];False;False;769486bec4df2330;[];dah
64;153;11-50;7510506.0;text;;[];False;False;769486bec4df2330;[];ipk gw turun semester ini
65;153;1-10;7510514.0;text;;[];False;False;769486bec4df2330;[];otw
66;153;51-100;7510821.0;text;;[];True;False;35c1c85dc1e2cc41;[];EH LU UDAH DAPET INFO JADWAL UJIAN AKHIR SEMESTER BELUM DARI PRODI?
67;153;11-50;7510839.0;text;;[];False;False;35c1c85dc1e2cc41;[];PERPUS TUTUP JAM BERAPA YA
68;153;11-50;7510851.0;text;;[];False;False;35c1c85dc1e2cc41;[];PERPUS TUTUP JAM BERAPA YA
69;153;11-50;7510963.0;text;;[];True;False;9478e5faa8fe1e90;[];jadi ketemuan ga hari ini?
70;153;11-50;7510984.0;text;;[];False;False;769486bec4df2330;[];gw skip kelas hari ini
71;153;11-50;7510993.0;text;;[];False;False;769486bec4df2330;[];tadi absen ga sih kamu
72;153;11-50;7511165.0;text;;[];False;False;e221ffc7f5f0a2ba;[];Dosen gw galak banget sih.
73;153;0;7511169.0;sticker/webp;;[];False;False;e221ffc7f5f0a2ba;[];[Stiker]
74;153;11-50;7511285.0;text;;[];False;False;769486bec4df2330;[];gw belom mulai tugas
75;153;51-100;7511326.0;text;;[];False;False;be9b543a6c6477b1;[];eh besok kita jadi ketemuan di kafe deket stasiun kan ya jam 2 siang
76;153;1-10;7511419.0;text;;[];False;False;3e310647b69e7bcd;[];hehe
77;153;51-100;7511430.0;text;;[];False;False;3e310647b69e7bcd;[];gw baru,,, aja selesai ngerjain tugas sampe jam 3 pagi, mau mati rasanya
78;153;11-50;7511435.0;text;;[];False;False;769486bec4df2330;[];perpus tutup jam berapa ya
79;153;11-50;7511436.0;text;;[];False;False;3e310647b69e7bcd;[];ipk gw turun semester,,, ini
80;153;1-10;7511439.0;text;;[];False;False;769486bec4df2330;[];iya
81;153;11-50;7511440.0;text;;[];False;False;769486bec4df2330;[];deadline besok pagi bro
82;153;1-10;7511449.0;text;;[];False;False;769486bec4df2330;[];siap
83;153;0;7511458.0;sticker/webp;;[];False;False;e221ffc7f5f0a2ba;[];[Stiker]
84;153;11-50;7511460.0;text;;[];False;False;e221ffc7f5f0a2ba;[];Deadline besok pagi bro.
