id;conversation_id;num_characters;relative_time_seconds;message_type;responds_to_id;array_emojis;interrogative;exclamatory;sender_hash;mentioned_phones_hash;message_content
1;1;0;0.0;system;;[];False;False;b0e82f158e91d72d;[];[Pesan sistem]
2;1;11-50;6.0;text;;[];False;False;b0e82f158e91d72d;[];bakso malang itu buka ga ya
3;1;11-50;7.0;text;;[];False;False;b0e82f158e91d72d;[];bakso malang itu buka ga ya
4;1;1-10;8.0;text;;[];False;False;b0e82f158e91d72d;[];sip
5;1;1-10;12.0;text;;[];False;False;b0e82f158e91d72d;[];woy
6;1;1-10;25.0;text;;[];False;False;afb24840ed0a83ea;[];bro
7;1;1-10;36.0;text;;[];False;False;b0e82f158e91d72d;[];gass
8;1;11-50;42.0;text;;[];False;False;b0e82f158e91d72d;[];masak sendiri lebih hemat sih
9;1;1-10;47.0;text;;[];False;False;b0e82f158e91d72d;[];ayok
10;1;11-50;48.0;text;;[];False;False;b0e82f158e91d72d;[];gw mau nyoba restoran baru
11;1;11-50;66.0;text;;[];False;False;b0e82f158e91d72d;[];gw lagi diet tapi gagal mulu
12;1;1-10;68.0;text;;[];False;False;b0e82f158e91d72d;[];lol
13;1;1-10;82.0;text;;[];True;False;b0e82f158e91d72d;[];serius?
14;1;1-10;83.0;text;;[];False;False;b0e82f158e91d72d;[];bener
15;1;1-10;84.0;text;;[];False;False;b0e82f158e91d72d;[];yep
16;1;11-50;84.0;text;;[];False;False;b0e82f158e91d72d;[];sarapan dulu baru mikir
17;1;1-10;209.0;text;15.0;[];False;False;afb24840ed0a83ea;[];sis
18;1;11-50;221.0;text;;[];False;False;afb24840ed0a83ea;[];sarapan dulu baru mikir
19;1;1-10;228.0;text;;[];False;False;afb24840ed0a83ea;[];sip
20;1;11-50;235.0;text;;[];True;False;afb24840ed0a83ea;[];bawa motor apa naik apa?
21;1;1-10;259.0;text;;[];False;False;afb24840ed0a83ea;[];yep
22;1;1-10;260.0;text;;[];False;False;afb24840ed0a83ea;[];gass
23;1;11-50;262.0;text;;[];False;False;afb24840ed0a83ea;[];kopi susu yg biasa ya
24;1;11-50;267.0;text;;[];False;False;afb24840ed0a83ea;[];gw lagi diet tapi gagal mulu
25;1;11-50;271.0;text;;[];False;False;b0e82f158e91d72d;[];indomie telor udah cukup kok
26;1;1-10;293.0;text;;[];False;False;b0e82f158e91d72d;[];bro
27;1;11-50;298.0;text;;[];False;False;b0e82f158e91d72d;[];tadi gw makan nasi padang
28;1;1-10;299.0;text;;[];False;False;b0e82f158e91d72d;[];gass
29;1;11-50;372.0;text;;[];False;False;b0e82f158e91d72d;[];gw lagi diet tapi gagal mulu
30;1;1-10;374.0;text;;[];False;False;b0e82f158e91d72d;[];gass
31;1;1-10;375.0;text;;[];False;False;b0e82f158e91d72d;[];bener
32;1;1-10;384.0;text;;[];False;False;b0e82f158e91d72d;[];sis
33;1;11-50;391.0;text;;[];False;False;b0e82f158e91d72d;[];nongkrong yuk di kafe biasa
34;1;11-50;391.0;text;;[];False;False;b0e82f158e91d72d;[];tadi gw makan nasi padang
35;1;1-10;397.0;text;;[];True;False;b0e82f158e91d72d;[];serius?
36;1;11-50;400.0;text;;[];False;False;b0e82f158e91d72d;[];kopi susu yg biasa ya
37;1;1-10;405.0;text;;[];False;False;b0e82f158e91d72d;[];gass
38;1;11-50;408.0;text;;[];True;False;b0e82f158e91d72d;[];udah sampe belom?
39;1;11-50;414.0;text;;[];False;False;b0e82f158e91d72d;[];sarapan dulu baru mikir
40;1;1-10;420.0;text;;[];True;False;b0e82f158e91d72d;[];yakin?
41;1;1-10;450.0;text;;[];False;False;b0e82f158e91d72d;[];woy
